Team,Project_key
CDC,CDS
CDP,CDS
CI,CI
CE,CCM
CV,SRM
PL,PL
DEL,PL
DX,PL
PIPELINE,CDS
GTM,GTM
GITOPS,CDS
STO,STO
CHAOS,CHAOS
PLG,GTM
IACM,IAC
IDP,IDP
SSCA,SSCA
CDB,CDB
SEI,SEI
DBDEVOPS,CDS
